"Year","TeamId","Team","Conference","Division","ExpectedWins","Total Games","Total Wins","Total Losses","Total Ties","ConferenceGames Games","ConferenceGames Wins","ConferenceGames Losses","ConferenceGames Ties","HomeGames Games","HomeGames Wins","HomeGames Losses","HomeGames Ties","AwayGames Games","AwayGames Wins","AwayGames Losses","AwayGames Ties"
"2016","2415","Morgan State","MEAC","","0","11","3","8","0","8","3","5","0","5","2","3","0","6","1","5","0"
"2016","47","Howard","MEAC","","0","11","2","9","0","8","2","6","0","4","1","3","0","6","1","5","0"
"2016","2402","Missouri S&T","Great Lakes","","0","1","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0"
"2016","2572","Southern Miss","Conference USA","West","7.9","13","7","6","0","8","4","4","0","6","4","2","0","6","2","4","0"
"2016","2429","Charlotte","Conference USA","East","4.9","12","4","8","0","8","3","5","0","6","1","5","0","6","3","3","0"
"2016","2534","Sam Houston","Southland","","0","13","12","1","0","9","9","0","0","7","7","0","0","6","5","1","0"
"2016","276","Marshall","Conference USA","East","3.1","12","3","9","0","8","2","6","0","7","3","4","0","5","0","5","0"
"2016","259","Virginia Tech","ACC","Coastal","9.3","14","10","4","0","9","6","3","0","6","5","1","0","5","4","1","0"
"2016","93","Murray State","OVC","","0","11","4","7","0","8","4","4","0","5","1","4","0","6","3","3","0"
"2016","2382","Mercer","Southern","","0","11","6","5","0","8","4","4","0","5","4","1","0","6","2","4","0"
"2016","138","Northwest Missouri St","Mid America","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2016","221","Pittsburgh","ACC","Coastal","8.1","13","8","5","0","8","5","3","0","7","6","1","0","5","2","3","0"
"2016","2335","Liberty","Big South","","0","11","6","5","0","5","4","1","0","6","4","2","0","5","2","3","0"
"2016","2197","Eastern Illinois","OVC","","0.8","11","6","5","0","8","4","4","0","5","2","3","0","6","4","2","0"
"2016","2567","SMU","American Athletic","West","5.8","12","5","7","0","8","3","5","0","6","2","4","0","6","3","3","0"
"2016","2306","Kansas State","Big 12","","7.8","13","9","4","0","9","6","3","0","6","5","1","0","6","3","3","0"
"2016","2166","Davidson","Pioneer","","0","11","2","9","0","8","0","8","0","5","1","4","0","6","1","5","0"
"2016","2655","Tulane","American Athletic","West","4.2","12","4","8","0","8","1","7","0","6","2","4","0","6","2","4","0"
"2016","265","Washington State","Pac-12","North","7.8","13","8","5","0","9","7","2","0","7","5","2","0","5","3","2","0"
"2016","2006","Akron","Mid-American","East","5.8","12","5","7","0","8","3","5","0","6","2","4","0","6","3","3","0"
"2016","53","Florida Tech","Gulf South","","0","1","1","0","0","0","0","0","0","0","0","0","0","1","1","0","0"
