"Year","School","Talent"
"2015","Alabama","981.90"
"2015","USC","926.71"
"2015","Ohio State","907.32"
"2015","Florida State","889.92"
"2015","LSU","889.37"
"2015","Georgia","877.74"
"2015","Auburn","865.41"
"2015","Notre Dame","857.33"
"2015","Michigan","851.12"
"2015","Texas A&M","830.34"
"2015","Texas","821.26"
"2015","Tennessee","810.53"
"2015","Clemson","807.56"
"2015","UCLA","793.22"
"2015","Florida","789.79"
"2015","Oklahoma","775.90"
"2015","Miami","773.23"
"2015","Stanford","765.98"
"2015","Ole Miss","764.34"
"2015","Oregon","757.52"
"2015","Penn State","732.36"
"2015","South Carolina","725.72"
"2015","Michigan State","715.30"
"2015","Nebraska","699.89"
"2015","Arkansas","695.04"
"2015","North Carolina","683.03"
"2015","Arizona State","680.87"
"2015","Mississippi State","680.06"
"2015","Washington","667.45"
"2015","Virginia","667.05"
"2015","Baylor","660.35"
"2015","Virginia Tech","658.38"
"2015","Oklahoma State","651.83"
"2015","Missouri","642.93"
"2015","Texas Tech","641.07"
"2015","Louisville","641.05"
"2015","Wisconsin","635.77"
"2015","Kentucky","634.52"
"2015","TCU","630.38"
"2015","California","626.00"
"2015","West Virginia","625.85"
"2015","Pittsburgh","611.18"
"2015","NC State","610.33"
"2015","Vanderbilt","609.76"
"2015","Arizona","606.92"
"2015","Maryland","603.76"
"2015","Rutgers","602.35"
"2015","Northwestern","595.75"
"2015","Georgia Tech","590.34"
"2015","Utah","574.41"
"2015","Iowa","573.06"
"2015","Boise State","568.96"
"2015","Duke","563.19"
"2015","Indiana","559.08"
"2015","Oregon State","544.66"
"2015","Colorado","542.06"
"2015","Washington State","540.86"
"2015","Boston College","534.60"
"2015","Purdue","534.26"
"2015","Illinois","530.96"
"2015","South Florida","529.65"
"2015","Iowa State","529.12"
"2015","BYU","521.43"
"2015","Minnesota","516.10"
"2015","Houston","511.45"
"2015","Syracuse","508.80"
"2015","Kansas State","503.64"
"2015","Kansas","499.97"
"2015","Wake Forest","497.48"
"2015","San Diego State","494.77"
"2015","Cincinnati","494.65"
"2015","Marshall","489.77"
"2015","UCF","484.54"
"2015","Southern Miss","470.84"
"2015","SMU","446.83"
"2015","Western Michigan","442.13"
"2015","Louisiana Tech","437.99"
"2015","Bowling Green","433.59"
"2015","Louisiana","430.17"
"2015","Toledo","429.03"
"2015","Akron","412.65"
"2015","Middle Tennessee","409.82"
"2015","Tulane","408.22"
"2015","Arkansas State","408.08"
"2015","Temple","405.92"
"2015","Tulsa","404.03"
"2015","East Carolina","403.62"
"2015","Fresno State","402.58"
"2015","UConn","402.23"
"2015","Florida Atlantic","401.61"
"2015","Rice","399.58"
"2015","Miami (OH)","397.13"
"2015","Georgia Southern","391.18"
"2015","Colorado State","389.10"
"2015","Hawai'i","385.63"
"2015","Memphis","381.80"
"2015","North Texas","380.69"
"2015","Northern Illinois","380.69"
"2015","Nevada","380.53"
"2015","San José State","379.60"
"2015","Central Michigan","376.81"
"2015","South Alabama","367.16"
"2015","Texas State","360.49"
"2015","Florida International","360.11"
"2015","UTSA","356.37"
"2015","Western Kentucky","353.50"
"2015","Ball State","349.94"
"2015","New Mexico","341.72"
"2015","Eastern Michigan","341.36"
"2015","Kent State","338.40"
"2015","Georgia State","335.67"
"2015","Troy","335.43"
"2015","UNLV","332.69"
"2015","Utah State","331.44"
"2015","Ohio","330.61"
"2015","Massachusetts","323.73"
"2015","Old Dominion","319.60"
"2015","Buffalo","316.44"
"2015","Wyoming","314.72"
"2015","App State","312.88"
"2015","Navy","306.87"
"2015","Charlotte","304.05"
"2015","UL Monroe","292.73"
"2015","Idaho","262.39"
