"Year","School","Talent"
"2015","UTEP","256.12"
"2015","New Mexico State","251.16"
"2015","UAB","236.34"
"2015","Northern Iowa","202.77"
"2015","Army","186.45"
"2015","Yale","181.76"
"2015","Jacksonville State","173.32"
"2015","Chattanooga","137.06"
"2015","Portland State","123.61"
"2015","Youngstown State","116.79"
"2015","Bethune-Cookman","116.09"
"2015","South Carolina State","105.01"
"2015","Stephen F. Austin","103.72"
"2015","Cal Poly","97.73"
"2015","Samford","95.68"
"2015","Illinois State","92.42"
"2015","Murray State","89.72"
"2015","James Madison","84.74"
"2015","North Dakota State","82.26"
"2015","Jackson State","78.26"
"2015","Indiana State","74.60"
"2015","Tennessee State","74.37"
"2015","Towson","74.05"
"2015","Pennsylvania","73.07"
"2015","Air Force","70.95"
"2015","Northern Arizona","68.35"
"2015","Abilene Christian","66.43"
"2015","Montana","64.46"
"2015","Wagner","64.14"
"2015","UT Martin","62.12"
"2015","Stony Brook","61.96"
"2015","Furman","61.89"
"2015","Southern Illinois","60.76"
"2015","Hampton","58.39"
"2015","SE Louisiana","58.08"
"2015","Villanova","57.42"
"2015","Valparaiso","56.37"
"2015","Western Illinois","51.28"
"2015","McNeese","51.19"
"2015","Duquesne","50.43"
"2015","Charleston Southern","48.43"
"2015","The Citadel","47.12"
"2015","Eastern Illinois","46.56"
"2015","Eastern Kentucky","46.50"
"2015","Richmond","46.34"
"2015","Eastern Washington","45.10"
"2015","Texas Southern","43.10"
"2015","Grambling","41.62"
"2015","Coastal Carolina","41.50"
"2015","Houston Christian","39.71"
"2015","Southern","37.48"
"2015","Sacramento State","37.46"
"2015","Rhode Island","37.17"
"2015","Austin Peay","36.99"
"2015","Fordham","36.98"
"2015","Northern Colorado","36.95"
"2015","Central Arkansas","35.29"
"2015","Mercer","35.02"
"2015","Norfolk State","32.59"
"2015","Tennessee Tech","31.74"
"2015","VMI","31.43"
"2015","Campbell","31.21"
"2015","Harvard","30.49"
"2015","Southeast Missouri State","29.79"
"2015","Cornell","29.11"
"2015","Northwestern State","28.02"
"2015","Presbyterian","25.63"
"2015","Delaware State","25.26"
"2015","South Dakota State","25.25"
"2015","Lamar","24.84"
"2015","Nicholls","24.71"
"2015","Alabama State","24.46"
"2015","Kennesaw State","23.49"
"2015","Idaho State","21.69"
"2015","Columbia","21.24"
"2015","New Hampshire","21.17"
"2015","Prairie View A&M","20.76"
"2015","East Tennessee State","20.07"
"2015","Weber State","19.80"
"2015","Liberty","19.57"
"2015","Wofford","19.48"
"2015","Jacksonville","18.58"
"2015","Brown","16.92"
"2015","Western Carolina","15.77"
"2015","Davidson","15.67"
"2015","William & Mary","15.65"
"2015","Florida A&M","15.60"
"2015","Incarnate Word","15.59"
"2015","North Carolina Central","14.26"
"2015","Alabama A&M","13.33"
"2015","Montana State","11.86"
"2015","Butler","9.96"
"2015","Gardner-Webb","8.58"
"2015","Monmouth","7.93"
"2015","Holy Cross","7.45"
"2015","Drake","7.43"
"2015","Maine","7.24"
"2015","Lehigh","6.66"
"2015","Southern Utah","6.66"
"2015","Stetson","6.66"
"2015","UC Davis","6.66"
"2015","Arkansas-Pine Bluff","6.66"
"2015","South Dakota","3.36"
"2015","Robert Morris","3.06"
"2015","Dartmouth","2.96"
"2015","Marist","2.63"
"2015","Howard","2.22"
"2015","St. Francis (PA)","1.74"
