"Year","TeamId","Team","Conference","Division","ExpectedWins","Total Games","Total Wins","Total Losses","Total Ties","ConferenceGames Games","ConferenceGames Wins","ConferenceGames Losses","ConferenceGames Ties","HomeGames Games","HomeGames Wins","HomeGames Losses","HomeGames Ties","AwayGames Games","AwayGames Wins","AwayGames Losses","AwayGames Ties"
"2022","2636","UTSA","Conference USA","","9.8","14","11","3","0","9","9","0","0","7","6","1","0","6","5","1","0"
"2022","2673","Valdosta State","Gulf South","","0","11","5","6","0","8","3","5","0","6","2","4","0","5","3","2","0"
"2022","2583","Southern Connecticut State","Northeast 10","","0","11","3","8","0","8","2","6","0","7","2","5","0","4","1","3","0"
"2022","2582","Southern","SWAC","West","6","12","7","5","0","9","5","4","0","5","5","0","0","5","1","4","0"
"2022","2415","Morgan State","MEAC","","3.9","11","4","7","0","5","2","3","0","5","3","2","0","6","1","5","0"
"2022","351","Wingate","South Atlantic","","0","14","11","3","0","6","5","1","0","5","3","2","0","8","8","0","0"
"2022","2047","Averett","Old Dominion","","0","9","3","6","0","1","1","0","0","4","1","3","0","5","2","3","0"
"2022","68","Boise State","Mountain West","Mountain","10.5","14","10","4","0","9","8","1","0","7","5","2","0","6","4","2","0"
"2022","301","San Diego","Pioneer","","4.8","11","5","5","1","8","4","3","1","5","3","1","1","6","2","4","0"
"2022","2056","Belhaven","USA South","","0","10","8","2","0","1","1","0","0","5","4","1","0","5","4","1","0"
"2022","2740","Wisconsin-Lacrosse","Wisconsin","","0","11","9","2","0","7","6","1","0","5","4","1","0","6","5","1","0"
"2022","2146","Colorado School Of Mines","Rocky Mountain","","0","16","13","3","0","10","10","0","0","8","7","1","0","7","6","1","0"
"2022","275","Wisconsin","Big Ten","West","8.8","13","7","6","0","9","4","5","0","7","4","3","0","5","2","3","0"
"2022","309","Louisiana","Sun Belt","West","5.7","13","6","7","0","8","4","4","0","6","4","2","0","6","2","4","0"
"2022","402","Worcester St","MSCAC","","0","10","1","9","0","8","1","7","0","5","0","5","0","5","1","4","0"
"2022","2460","Northern Iowa","MVFC","","6.8","11","6","5","0","8","5","3","0","6","3","3","0","5","3","2","0"
"2022","2205","Edinboro University","Pennsylvania State Athletic","Western","0","11","5","6","0","10","4","6","0","5","2","3","0","5","2","3","0"
"2022","110242","West Florida","Gulf South","","0","14","12","2","0","8","7","1","0","0","0","0","0","7","6","1","0"
"2022","2741","Wisconsin-Lutheran","NACC","","0","10","4","6","0","8","4","4","0","5","3","2","0","5","1","4","0"
"2022","2294","Iowa","Big Ten","West","6.9","13","8","5","0","9","5","4","0","7","4","3","0","5","3","2","0"
"2022","2316","Kentucky Wesleyan","Great Midwest Athletic","","0","11","2","9","0","7","1","6","0","5","2","3","0","6","0","6","0"
"2022","66","Iowa State","Big 12","","4.7","12","4","8","0","9","1","8","0","7","3","4","0","5","1","4","0"
"2022","2429","Charlotte","Conference USA","","2.4","12","3","9","0","8","2","6","0","6","1","5","0","6","2","4","0"
"2022","2115","Central Connecticut","NEC","","0.3","11","2","9","0","7","2","5","0","5","1","4","0","6","1","5","0"
"2022","2916","Incarnate Word","Southland","","10.9","14","12","2","0","4","4","0","0","6","6","0","0","8","6","2","0"
"2022","2747","Wofford","Southern","","2.7","11","3","8","0","8","3","5","0","5","3","2","0","6","0","6","0"
"2022","2802","Bethel (MN)","Minnesota","","0","12","10","2","0","6","6","0","0","5","5","0","0","7","5","2","0"
"2022","2829","Simon Fraser","Lone Star","","0","9","1","8","0","2","0","2","0","1","0","1","0","4","0","4","0"
"2022","311","Maine","CAA","","2.7","11","2","9","0","8","2","6","0","5","1","4","0","6","1","5","0"
"2022","126086","Post University","Independent DII","","0","9","0","9","0","0","0","0","0","0","0","0","0","6","0","6","0"
"2022","245","Texas A&M","SEC","West","4.7","12","5","7","0","8","2","6","0","7","4","3","0","4","0","4","0"
"2022","2744","Wisconsin-Stout","Wisconsin","","0","10","5","5","0","7","3","4","0","5","3","2","0","5","2","3","0"
"2022","418","Hendrix College","Southern Athletic","","0","10","3","7","0","7","2","5","0","4","2","2","0","4","0","4","0"
"2022","271","Wisconsin-Oshkosh","Wisconsin","","0","10","6","4","0","7","4","3","0","4","3","1","0","6","3","3","0"
"2022","2369","Mars Hill","South Atlantic","","0","10","7","3","0","6","4","2","0","5","4","1","0","5","3","2","0"
"2022","2569","South Carolina State","MEAC","","1.6","11","3","8","0","5","1","4","0","5","2","3","0","6","1","5","0"
"2022","171","Columbia","Ivy","","3.9","10","6","4","0","7","3","4","0","5","2","3","0","5","4","1","0"
"2022","2930","Willamette","Northwest","","0","10","2","8","0","7","0","7","0","5","1","4","0","4","0","4","0"
"2022","153","North Carolina","ACC","Coastal","7.1","14","9","5","0","9","6","3","0","6","3","3","0","6","6","0","0"
"2022","2191","East Central (OK)","Great American","","0","11","8","3","0","11","8","3","0","6","5","1","0","5","3","2","0"
"2022","330","Virginia St","CIAA","Northern","0","10","6","4","0","8","5","3","0","5","3","2","0","5","3","2","0"
"2022","2181","Drake","Pioneer","","3.5","11","3","8","0","8","3","5","0","5","1","4","0","6","2","4","0"
"2022","166","New Mexico State","FBS Independents","","7.3","13","7","6","0","2","2","0","0","6","4","2","0","6","2","4","0"
"2022","2545","SE Louisiana","Southland","","6.2","13","9","4","0","4","3","1","0","6","5","1","0","7","4","3","0"
"2022","2858","PennWest California","Pennsylvania State Athletic","Western","0","11","6","5","0","10","5","5","0","6","3","3","0","5","3","2","0"
"2022","152","NC State","ACC","Atlantic","6.9","13","8","5","0","8","4","4","0","7","6","1","0","5","2","3","0"
"2022","2842","UVA Wise","South Atlantic","","0","11","2","9","0","6","0","6","0","5","1","4","0","6","1","5","0"
"2022","568","Minot State","Northern Sun","North","0","11","1","10","0","10","1","9","0","5","1","4","0","6","0","6","0"
"2022","2717","Western Carolina","Southern","","4.3","11","6","5","0","8","4","4","0","5","4","1","0","6","2","4","0"
"2022","2587","Southwest Minnesota State","Northern Sun","South","0","11","4","7","0","11","4","7","0","6","3","3","0","5","1","4","0"
"2022","2710","Western Illinois","MVFC","","2.5","11","0","11","0","8","0","8","0","5","0","5","0","6","0","6","0"
"2022","2745","Wisconsin-Whitewater","Wisconsin","","0","11","8","3","0","7","6","1","0","5","4","1","0","6","4","2","0"
"2022","341","Frostburg State","Mountain East","","0","11","8","3","0","10","7","3","0","6","5","1","0","5","3","2","0"
"2022","290","Georgia Southern","Sun Belt","East","4.3","13","6","7","0","8","3","5","0","6","4","2","0","6","2","4","0"
"2022","2891","Ripon","Midwest","","0","10","9","1","0","9","8","1","0","6","6","0","0","4","3","1","0"
"2022","3112","Christopher Newport","New Jersey","","0","9","7","2","0","6","5","1","0","5","4","1","0","4","3","1","0"
"2022","2570","CSU Pueblo","Rocky Mountain","","0","12","8","4","0","10","7","3","0","6","4","2","0","6","4","2","0"
"2022","2","Auburn","SEC","West","6.7","12","5","7","0","8","2","6","0","8","5","3","0","4","0","4","0"
"2022","2448","North Carolina A&T","Big South","","3.3","11","7","4","0","5","4","1","0","6","6","0","0","4","1","3","0"
