"Year","TeamId","Team","Conference","Division","ExpectedWins","Total Games","Total Wins","Total Losses","Total Ties","ConferenceGames Games","ConferenceGames Wins","ConferenceGames Losses","ConferenceGames Ties","HomeGames Games","HomeGames Wins","HomeGames Losses","HomeGames Ties","AwayGames Games","AwayGames Wins","AwayGames Losses","AwayGames Ties"
"2017","23","San José State","Mountain West","West","2","13","2","11","0","8","1","7","0","6","2","4","0","7","0","7","0"
"2017","2097","Campbell","Pioneer","","0","11","6","5","0","8","5","3","0","6","3","3","0","5","3","2","0"
"2017","2551","Shaw","CIAA","Southern","0","1","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0"
"2017","2940","Livingstone","CIAA","Southern","0","1","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0"
"2017","24","Stanford","Pac-12","North","7.9","14","9","5","0","10","7","3","0","6","6","0","0","5","2","3","0"
"2017","193","Miami (OH)","Mid-American","East","7.1","12","5","7","0","8","4","4","0","6","3","3","0","6","2","4","0"
"2017","2306","Kansas State","Big 12","","6.4","13","8","5","0","9","5","4","0","7","4","3","0","5","3","2","0"
"2017","2628","TCU","Big 12","","10.6","14","11","3","0","10","7","3","0","6","6","0","0","6","4","2","0"
"2017","2169","Delaware State","MEAC","","0","11","2","9","0","8","2","6","0","4","2","2","0","7","0","7","0"
"2017","2294","Iowa","Big Ten","West","7.9","13","8","5","0","9","4","5","0","7","5","2","0","5","2","3","0"
"2017","194","Ohio State","Big Ten","East","11.5","14","12","2","0","10","9","1","0","7","6","1","0","5","4","1","0"
"2017","8","Arkansas","SEC","West","4.8","12","4","8","0","8","1","7","0","6","2","4","0","4","1","3","0"
"2017","213","Penn State","Big Ten","East","10.5","13","11","2","0","9","7","2","0","7","7","0","0","5","3","2","0"
"2017","322","Lafayette","Patriot","","0","11","3","8","0","6","3","3","0","5","1","4","0","6","2","4","0"
"2017","25","California","Pac-12","North","5.4","12","5","7","0","9","2","7","0","6","4","2","0","6","1","5","0"
"2017","2638","UTEP","Conference USA","West","0.9","12","0","12","0","8","0","8","0","5","0","5","0","7","0","7","0"
"2017","356","Illinois","Big Ten","West","2.1","12","2","10","0","9","0","9","0","7","2","5","0","5","0","5","0"
"2017","2535","Samford","Southern","","0","12","8","4","0","8","6","2","0","6","5","1","0","6","3","3","0"
"2017","2316","Kentucky Wesleyan","Great Midwest Athletic","","0","1","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0"
"2017","2010","Alabama A&M","SWAC","East","0","11","4","7","0","7","3","4","0","5","4","1","0","5","0","5","0"
"2017","2184","Duquesne","NEC","","0","11","7","4","0","6","4","2","0","4","3","1","0","7","4","3","0"
"2017","2848","Western Oregon","Great Northwest","","0","1","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0"
"2017","248","Houston","American Athletic","West","8.3","12","7","5","0","8","5","3","0","6","4","2","0","5","3","2","0"
"2017","2569","South Carolina State","MEAC","","0","10","3","7","0","8","2","6","0","5","3","2","0","5","0","5","0"
"2017","2258","Guilford College","Old Dominion","","0","2","0","2","0","0","0","0","0","0","0","0","0","2","0","2","0"
"2017","57","Florida","SEC","East","3.6","11","4","7","0","8","3","5","0","6","3","3","0","3","1","2","0"
"2017","68","Boise State","Mountain West","Mountain","10.9","14","11","3","0","9","8","1","0","7","6","1","0","6","4","2","0"
"2017","103","Boston College","ACC","Atlantic","6.9","13","7","6","0","8","4","4","0","6","2","4","0","5","4","1","0"
"2017","2617","Stephen F. Austin","Southland","","0","11","4","7","0","9","4","5","0","6","2","4","0","5","2","3","0"
"2017","204","Oregon State","Pac-12","North","1.9","12","1","11","0","9","0","9","0","6","1","5","0","6","0","6","0"
"2017","219","Pennsylvania","Ivy","","0","9","5","4","0","7","4","3","0","4","2","2","0","5","3","2","0"
"2017","70","Idaho","Sun Belt","","6","12","4","8","0","8","3","5","0","6","2","4","0","6","2","4","0"
"2017","253","Southern Utah","Big Sky","","0","12","9","3","0","9","7","2","0","6","5","1","0","6","4","2","0"
"2017","119","Towson","CAA","","0","11","5","6","0","8","3","5","0","5","3","2","0","6","2","4","0"
"2017","2755","Grambling","SWAC","West","0","13","11","2","0","9","9","0","0","4","4","0","0","6","5","1","0"
"2017","221","Pittsburgh","ACC","Coastal","6","12","5","7","0","8","3","5","0","7","4","3","0","5","1","4","0"
"2017","2643","The Citadel","Southern","","0","11","5","6","0","8","3","5","0","5","2","3","0","6","3","3","0"
"2017","62","Hawai'i","Mountain West","West","3.9","12","3","9","0","8","1","7","0","6","2","4","0","6","1","5","0"
"2017","2655","Tulane","American Athletic","West","4.6","12","5","7","0","8","3","5","0","6","4","2","0","6","1","5","0"
"2017","2450","Norfolk State","MEAC","","0","11","4","7","0","8","4","4","0","6","1","5","0","5","3","2","0"
"2017","58","South Florida","American Athletic","East","10.1","12","10","2","0","8","6","2","0","6","5","1","0","5","4","1","0"
"2017","295","Old Dominion","Conference USA","East","5.3","12","5","7","0","8","3","5","0","6","3","3","0","6","2","4","0"
"2017","2210","Elon","CAA","","0","12","8","4","0","8","6","2","0","6","4","2","0","6","4","2","0"
"2017","26","UCLA","Pac-12","South","6.4","13","6","7","0","9","4","5","0","6","6","0","0","6","0","6","0"
"2017","163","Princeton","Ivy","","0","10","5","5","0","7","2","5","0","5","2","3","0","5","3","2","0"
"2017","311","Maine","CAA","","0","10","4","6","0","8","3","5","0","5","3","2","0","4","1","3","0"
