"Year","School","Talent"
"2016","Jackson State","86.85"
"2016","Montana","83.10"
"2016","North Dakota State","81.65"
"2016","Stephen F. Austin","80.33"
"2016","Western Illinois","78.62"
"2016","Southeast Missouri State","76.33"
"2016","South Carolina State","75.71"
"2016","Coastal Carolina","71.67"
"2016","McNeese","69.85"
"2016","Southern Utah","68.79"
"2016","Prairie View A&M","67.68"
"2016","Norfolk State","67.07"
"2016","Furman","66.86"
"2016","Charleston Southern","65.60"
"2016","Montana State","64.33"
"2016","Bethune-Cookman","63.39"
"2016","Murray State","62.79"
"2016","Central Arkansas","62.11"
"2016","Houston Christian","61.17"
"2016","Pennsylvania","60.95"
"2016","Mercer","57.71"
"2016","Kennesaw State","54.76"
"2016","Weber State","54.68"
"2016","Alabama State","53.46"
"2016","Tennessee Tech","53.00"
"2016","Richmond","51.95"
"2016","Tennessee State","51.82"
"2016","Southern","46.97"
"2016","Sacramento State","45.18"
"2016","Eastern Washington","45.10"
"2016","Austin Peay","44.67"
"2016","Air Force","44.58"
"2016","Texas Southern","43.86"
"2016","Lamar","43.84"
"2016","Indiana State","43.84"
"2016","William & Mary","43.54"
"2016","Presbyterian","41.40"
"2016","Rhode Island","41.24"
"2016","Campbell","40.68"
"2016","Alcorn State","39.30"
"2016","The Citadel","37.64"
"2016","Fordham","36.98"
"2016","Princeton","36.73"
"2016","Monmouth","35.77"
"2016","South Dakota","32.89"
"2016","Northwestern State","32.06"
"2016","VMI","31.43"
"2016","East Tennessee State","31.35"
"2016","Valparaiso","29.84"
"2016","Northern Colorado","29.66"
"2016","Drake","27.37"
"2016","Robert Morris","26.70"
"2016","Alabama A&M","26.31"
"2016","Idaho State","25.18"
"2016","Villanova","23.98"
"2016","Savannah St","23.51"
"2016","Maine","23.37"
"2016","Delaware State","22.84"
"2016","Gardner-Webb","22.66"
"2016","Butler","21.56"
"2016","Columbia","21.24"
"2016","Liberty","21.04"
"2016","Abilene Christian","19.77"
"2016","Wofford","19.48"
"2016","Sacred Heart","19.44"
"2016","Harvard","17.28"
"2016","Brown","16.92"
"2016","Florida A&M","16.64"
"2016","Cornell","15.89"
"2016","Dayton","14.99"
"2016","Holy Cross","14.75"
"2016","Western Carolina","13.67"
"2016","Jacksonville","13.41"
"2016","North Carolina Central","13.15"
"2016","Missouri State","12.70"
"2016","Georgetown","12.60"
"2016","New Hampshire","11.21"
"2016","Stetson","9.99"
"2016","Howard","7.53"
"2016","Lehigh","6.66"
"2016","San Diego","6.66"
"2016","Arkansas-Pine Bluff","6.66"
"2016","Central Connecticut","6.66"
"2016","Morehead State","6.66"
"2016","Bryant","6.24"
"2016","North Carolina A&T","3.81"
"2016","St. Francis (PA)","1.74"
