"Year","School","Talent"
"2016","Alabama","982.66"
"2016","USC","936.86"
"2016","LSU","917.72"
"2016","Florida State","906.64"
"2016","Ohio State","902.46"
"2016","Georgia","872.00"
"2016","Auburn","865.36"
"2016","Michigan","852.78"
"2016","Clemson","846.00"
"2016","Notre Dame","842.35"
"2016","Texas","838.97"
"2016","UCLA","819.16"
"2016","Texas A&M","814.63"
"2016","Tennessee","813.92"
"2016","Ole Miss","808.15"
"2016","Florida","798.44"
"2016","Stanford","778.45"
"2016","Oklahoma","777.48"
"2016","Miami","745.93"
"2016","Penn State","742.52"
"2016","Oregon","738.29"
"2016","Michigan State","719.70"
"2016","South Carolina","706.90"
"2016","Washington","699.64"
"2016","Arizona State","694.21"
"2016","Nebraska","691.61"
"2016","Arkansas","689.41"
"2016","Mississippi State","679.14"
"2016","North Carolina","669.61"
"2016","TCU","665.53"
"2016","West Virginia","654.64"
"2016","Louisville","654.13"
"2016","Kentucky","652.07"
"2016","Maryland","651.99"
"2016","Pittsburgh","649.85"
"2016","Virginia Tech","646.82"
"2016","Wisconsin","643.76"
"2016","Missouri","633.76"
"2016","Oklahoma State","631.68"
"2016","Baylor","619.18"
"2016","Vanderbilt","619.03"
"2016","Virginia","618.91"
"2016","Arizona","616.31"
"2016","NC State","616.29"
"2016","Northwestern","613.55"
"2016","Texas Tech","604.93"
"2016","California","601.17"
"2016","Duke","599.82"
"2016","Rutgers","585.47"
"2016","Georgia Tech","582.55"
"2016","Utah","580.07"
"2016","Houston","572.70"
"2016","Indiana","565.47"
"2016","South Florida","563.99"
"2016","Iowa","558.73"
"2016","Iowa State","552.17"
"2016","Boise State","548.82"
"2016","Cincinnati","541.58"
"2016","Minnesota","535.44"
"2016","Boston College","533.39"
"2016","BYU","529.05"
"2016","Colorado","526.39"
"2016","Oregon State","524.89"
"2016","Illinois","523.91"
"2016","Washington State","522.58"
"2016","Syracuse","520.26"
"2016","Wake Forest","517.63"
"2016","Purdue","512.72"
"2016","UCF","510.27"
"2016","Kansas State","505.29"
"2016","Temple","492.72"
"2016","Kansas","491.00"
"2016","Marshall","485.46"
"2016","San Diego State","482.31"
"2016","SMU","474.03"
"2016","Arkansas State","471.45"
"2016","Toledo","460.86"
"2016","Louisiana Tech","451.38"
"2016","Memphis","451.24"
"2016","Akron","443.73"
"2016","Western Michigan","443.16"
"2016","East Carolina","442.26"
"2016","Southern Miss","441.29"
"2016","San José State","437.36"
"2016","Middle Tennessee","436.60"
"2016","Georgia Southern","435.33"
"2016","UConn","423.56"
"2016","Louisiana","421.37"
"2016","Miami (OH)","418.04"
"2016","Colorado State","412.28"
"2016","Tulsa","409.17"
"2016","Florida Atlantic","408.40"
"2016","Fresno State","404.97"
"2016","Northern Illinois","403.27"
"2016","Western Kentucky","401.82"
"2016","UTSA","397.64"
"2016","Rice","394.83"
"2016","Bowling Green","392.66"
"2016","Central Michigan","391.81"
"2016","Troy","390.47"
"2016","Nevada","389.56"
"2016","South Alabama","389.36"
"2016","Tulane","388.04"
"2016","New Mexico","387.26"
"2016","Hawai'i","384.97"
"2016","UNLV","376.26"
"2016","Ohio","372.56"
"2016","Massachusetts","370.90"
"2016","Ball State","365.94"
"2016","Florida International","362.84"
"2016","Utah State","357.13"
"2016","Texas State","351.76"
"2016","North Texas","351.58"
"2016","Eastern Michigan","347.70"
"2016","Old Dominion","347.20"
"2016","Buffalo","343.64"
"2016","Navy","342.77"
"2016","Kent State","334.01"
"2016","App State","333.36"
"2016","Charlotte","330.55"
"2016","UL Monroe","322.82"
"2016","Georgia State","321.79"
"2016","Wyoming","316.18"
"2016","UTEP","290.40"
"2016","New Mexico State","267.66"
"2016","Idaho","256.78"
"2016","Jacksonville State","254.26"
"2016","Eastern Kentucky","184.88"
"2016","Yale","165.17"
"2016","Northern Iowa","164.16"
"2016","Portland State","154.68"
"2016","Army","131.74"
"2016","Youngstown State","130.84"
"2016","James Madison","128.58"
"2016","Southern Illinois","123.69"
"2016","SE Louisiana","121.61"
"2016","Chattanooga","119.20"
"2016","Eastern Illinois","119.04"
"2016","Wagner","118.43"
"2016","Stony Brook","118.15"
"2016","Duquesne","116.15"
"2016","UT Martin","107.98"
"2016","Northern Arizona","104.38"
"2016","Illinois State","102.21"
"2016","Hampton","99.46"
"2016","Towson","95.18"
"2016","Samford","94.57"
"2016","Grambling","93.31"
"2016","Cal Poly","91.73"
"2016","Nicholls","89.59"
