"Year","TeamId","Team","Conference","Division","ExpectedWins","Total Games","Total Wins","Total Losses","Total Ties","ConferenceGames Games","ConferenceGames Wins","ConferenceGames Losses","ConferenceGames Ties","HomeGames Games","HomeGames Wins","HomeGames Losses","HomeGames Ties","AwayGames Games","AwayGames Wins","AwayGames Losses","AwayGames Ties"
"2018","2127","Charleston Southern","Big South","","0","11","5","6","0","5","3","2","0","5","3","2","0","6","2","4","0"
"2018","2010","Alabama A&M","SWAC","East","0","10","5","5","0","8","5","3","0","5","1","4","0","5","4","1","0"
"2018","2483","Oregon","Pac-12","North","7.5","13","9","4","0","9","5","4","0","7","6","1","0","5","2","3","0"
"2018","2747","Wofford","Southern","","0.3","13","9","4","0","8","6","2","0","6","6","0","0","7","3","4","0"
"2018","2368","Marist","Pioneer","","0","11","5","6","0","8","5","3","0","5","3","2","0","6","2","4","0"
"2018","2294","Iowa","Big Ten","West","8.6","13","9","4","0","9","5","4","0","7","5","2","0","5","3","2","0"
"2018","2572","Southern Miss","Conference USA","West","5.6","11","6","5","0","8","5","3","0","6","5","1","0","5","1","4","0"
"2018","2348","Louisiana Tech","Conference USA","West","7","13","8","5","0","8","5","3","0","5","3","2","0","7","4","3","0"
"2018","2464","Northern Arizona","Big Sky","","1","10","4","6","0","7","2","5","0","5","3","2","0","5","1","4","0"
"2018","2110","Central Arkansas","Southland","","0","11","6","5","0","9","5","4","0","5","3","2","0","6","3","3","0"
"2018","2402","Missouri S&T","Great Lakes","","0","1","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0"
"2018","50","Florida A&M","MEAC","","0","11","6","5","0","8","5","3","0","6","4","2","0","4","2","2","0"
"2018","66","Iowa State","Big 12","","8.4","13","8","5","0","9","6","3","0","7","6","1","0","5","2","3","0"
"2018","193","Miami (OH)","Mid-American","East","6.1","12","6","6","0","8","6","2","0","6","3","3","0","6","3","3","0"
"2018","455","West Virginia Wesleyan","Mountain East","","0","1","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0"
"2018","43","Yale","Ivy","","0","10","5","5","0","7","3","4","0","5","3","2","0","4","2","2","0"
"2018","2377","McNeese","Southland","","0","11","6","5","0","9","5","4","0","5","4","1","0","6","2","4","0"
"2018","322","Lafayette","Patriot","","0","11","3","8","0","6","2","4","0","5","1","4","0","6","2","4","0"
"2018","24","Stanford","Pac-12","North","7.4","13","9","4","0","9","6","3","0","6","4","2","0","6","4","2","0"
"2018","2598","St. Francis (PA)","NEC","","0","11","4","7","0","6","2","4","0","6","3","3","0","5","1","4","0"
"2018","25","California","Pac-12","North","6.3","13","7","6","0","9","4","5","0","7","4","3","0","5","3","2","0"
"2018","77","Northwestern","Big Ten","West","8.3","14","9","5","0","10","8","2","0","7","3","4","0","5","5","0","0"
"2018","276","Marshall","Conference USA","East","8.5","13","9","4","0","8","6","2","0","6","4","2","0","7","5","2","0"
"2018","2210","Elon","CAA","","0","11","6","5","0","7","4","3","0","5","4","1","0","6","2","4","0"
"2018","2083","Bucknell","Patriot","","0","11","1","10","0","6","1","5","0","5","0","5","0","6","1","5","0"
"2018","197","Oklahoma State","Big 12","","8.5","13","7","6","0","9","3","6","0","7","5","2","0","5","1","4","0"
"2018","258","Virginia","ACC","Coastal","9.4","13","8","5","0","8","4","4","0","7","6","1","0","5","1","4","0"
"2018","282","Indiana State","MVFC","","0","11","7","4","0","8","5","3","0","5","3","2","0","6","4","2","0"
"2018","2711","Western Michigan","Mid-American","West","7.5","13","7","6","0","8","5","3","0","6","3","3","0","6","4","2","0"
"2018","2","Auburn","SEC","West","8.6","13","8","5","0","8","3","5","0","7","5","2","0","4","1","3","0"
"2018","2617","Stephen F. Austin","Southland","","0","10","2","8","0","9","2","7","0","4","1","3","0","5","1","4","0"
"2018","97","Louisville","ACC","Atlantic","2.2","12","2","10","0","8","0","8","0","7","2","5","0","4","0","4","0"
"2018","2569","South Carolina State","MEAC","","0","11","5","6","0","9","5","4","0","5","2","3","0","6","3","3","0"
"2018","275","Wisconsin","Big Ten","West","8.1","13","8","5","0","9","5","4","0","7","5","2","0","5","2","3","0"
"2018","2560","Shorter","Gulf South","","0","2","0","2","0","0","0","0","0","0","0","0","0","2","0","2","0"
"2018","2502","Portland State","Big Sky","","0","11","4","7","0","7","3","4","0","5","2","3","0","6","2","4","0"
"2018","2630","UT Martin","OVC","","0","11","2","9","0","8","2","6","0","5","2","3","0","6","0","6","0"
"2018","356","Illinois","Big Ten","West","4.1","12","4","8","0","9","2","7","0","6","3","3","0","5","1","4","0"
"2018","295","Old Dominion","Conference USA","East","4.4","12","4","8","0","8","2","6","0","6","3","3","0","6","1","5","0"
"2018","331","Eastern Washington","Big Sky","","0","15","12","3","0","10","9","1","0","8","8","0","0","6","4","2","0"
"2018","2635","Tennessee Tech","OVC","","0","11","1","10","0","8","1","7","0","5","1","4","0","6","0","6","0"
"2018","2329","Lehigh","Patriot","","0","11","3","8","0","6","2","4","0","5","2","3","0","6","1","5","0"
"2018","2529","Sacred Heart","NEC","","0","11","7","4","0","6","5","1","0","5","4","1","0","6","3","3","0"
"2018","231","Furman","Southern","","0","10","6","4","0","8","6","2","0","4","3","1","0","6","3","3","0"
"2018","235","Memphis","American Athletic","West","9.1","14","8","6","0","9","5","4","0","7","6","1","0","6","2","4","0"
"2018","344","Mississippi State","SEC","West","8.7","13","8","5","0","8","4","4","0","7","6","1","0","5","2","3","0"
"2018","2839","Greeneville","South Atlantic","","0","1","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0"
"2018","150","Duke","ACC","Coastal","7.4","13","8","5","0","8","3","5","0","6","3","3","0","6","4","2","0"
"2018","172","Cornell","Ivy","","0","10","3","7","0","7","2","5","0","5","2","3","0","5","1","4","0"
"2018","2582","Southern","SWAC","West","0","11","7","4","0","8","6","2","0","5","4","1","0","5","2","3","0"
"2018","2049","Azusa Pacific","Great Northwest","","0","1","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0"
"2018","349","Army","FBS Independents","","9.6","13","11","2","0","0","0","0","0","6","6","0","0","4","2","2","0"
"2018","2026","App State","Sun Belt","West","10.9","13","11","2","0","9","8","1","0","6","6","0","0","6","4","2","0"
"2018","233","South Dakota","MVFC","","0.4","11","4","7","0","8","3","5","0","5","3","2","0","6","1","5","0"
"2018","120","Maryland","Big Ten","East","6","12","5","7","0","9","3","6","0","6","3","3","0","5","1","4","0"
"2018","2401","Mississippi College","Gulf South","","0","1","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0"
"2018","113","Massachusetts","FBS Independents","","4.5","12","4","8","0","0","0","0","0","6","3","3","0","6","1","5","0"
"2018","251","Texas","Big 12","","9.3","14","10","4","0","10","7","3","0","6","5","1","0","4","3","1","0"
"2018","2466","Northwestern State","Southland","","0","11","5","6","0","9","4","5","0","5","3","2","0","6","2","4","0"
"2018","48","Delaware","CAA","","0","12","7","5","0","9","5","4","0","6","4","2","0","6","3","3","0"
"2018","2393","Middle Tennessee","Conference USA","East","6.8","14","8","6","0","9","7","2","0","6","5","1","0","7","3","4","0"
"2018","2545","SE Louisiana","Southland","","0.4","11","4","7","0","9","4","5","0","5","3","2","0","6","1","5","0"
"2018","2640","Texas Southern","SWAC","West","0","10","1","9","0","8","1","7","0","4","1","3","0","6","0","6","0"
