"Year","School","Talent"
"2018","Ohio State","984.30"
"2018","Alabama","978.54"
"2018","Georgia","964.00"
"2018","USC","933.65"
"2018","Clemson","893.21"
"2018","LSU","889.91"
"2018","Florida State","888.75"
"2018","Michigan","862.35"
"2018","Texas","861.20"
"2018","Notre Dame","847.85"
"2018","Oklahoma","843.79"
"2018","Penn State","834.24"
"2018","Florida","831.78"
"2018","Auburn","827.37"
"2018","Tennessee","826.98"
"2018","Texas A&M","805.66"
"2018","Stanford","786.63"
"2018","Washington","772.88"
"2018","UCLA","754.31"
"2018","Miami","753.72"
"2018","South Carolina","749.98"
"2018","Ole Miss","734.00"
"2018","Mississippi State","729.97"
"2018","Maryland","725.94"
"2018","Nebraska","711.22"
"2018","Oregon","695.81"
"2018","Arkansas","694.63"
"2018","North Carolina","688.48"
"2018","Arizona State","687.72"
"2018","Virginia Tech","675.71"
"2018","TCU","671.88"
"2018","Kentucky","670.27"
"2018","Baylor","668.37"
"2018","Michigan State","658.85"
"2018","Wisconsin","653.50"
"2018","West Virginia","646.91"
"2018","Oklahoma State","645.01"
"2018","Pittsburgh","637.96"
"2018","Duke","635.63"
"2018","Louisville","632.22"
"2018","NC State","629.39"
"2018","Iowa","615.08"
"2018","Vanderbilt","611.99"
"2018","Northwestern","608.89"
"2018","California","596.08"
"2018","Missouri","595.14"
"2018","Utah","594.60"
"2018","Minnesota","588.97"
"2018","Georgia Tech","583.49"
"2018","Arizona","580.54"
"2018","Houston","577.17"
"2018","Iowa State","575.76"
"2018","Colorado","575.65"
"2018","Syracuse","570.20"
"2018","UCF","568.35"
"2018","BYU","565.85"
"2018","Indiana","564.04"
"2018","Illinois","562.67"
"2018","Texas Tech","561.59"
"2018","Rutgers","555.24"
"2018","Washington State","554.77"
"2018","South Florida","548.62"
"2018","Kansas State","547.43"
"2018","Cincinnati","543.78"
"2018","Boise State","543.43"
"2018","Virginia","542.40"
"2018","Florida Atlantic","537.93"
"2018","Oregon State","535.36"
"2018","Boston College","533.43"
"2018","Wake Forest","525.48"
"2018","Purdue","520.48"
"2018","Kansas","517.10"
"2018","SMU","485.46"
"2018","Memphis","480.07"
"2018","Colorado State","479.97"
"2018","Temple","478.30"
"2018","Louisiana Tech","477.50"
"2018","Florida International","476.52"
"2018","San Diego State","472.60"
"2018","Toledo","463.96"
"2018","Fresno State","459.07"
"2018","Marshall","451.61"
"2018","Tulane","445.36"
"2018","Western Michigan","442.29"
"2018","East Carolina","434.48"
"2018","Arkansas State","433.73"
"2018","Nevada","432.40"
"2018","Northern Illinois","432.31"
"2018","San José State","430.62"
"2018","Miami (OH)","421.22"
"2018","Middle Tennessee","414.19"
"2018","Central Michigan","413.60"
"2018","New Mexico","411.95"
"2018","UTSA","405.20"
"2018","Georgia State","404.34"
"2018","UNLV","400.76"
"2018","South Alabama","394.24"
"2018","UConn","389.20"
"2018","Massachusetts","388.91"
"2018","UAB","387.71"
"2018","Southern Miss","387.32"
"2018","Utah State","377.39"
"2018","Louisiana","376.68"
"2018","Bowling Green","375.14"
"2018","Rice","375.12"
"2018","Buffalo","369.14"
"2018","North Texas","368.58"
"2018","Tulsa","368.14"
"2018","Ball State","362.10"
"2018","Akron","361.00"
"2018","App State","356.16"
"2018","Western Kentucky","353.43"
"2018","Troy","352.36"
"2018","Kent State","351.73"
"2018","Navy","349.26"
"2018","Wyoming","348.34"
"2018","Ohio","346.18"
"2018","UTEP","345.76"
"2018","Eastern Michigan","344.06"
"2018","Hawai'i","343.97"
"2018","Old Dominion","333.18"
"2018","UL Monroe","326.66"
"2018","Charlotte","311.00"
"2018","Georgia Southern","303.12"
"2018","Texas State","302.55"
"2018","Coastal Carolina","284.24"
"2018","New Mexico State","249.32"
"2018","Army","230.75"
"2018","Air Force","186.27"
"2018","Jacksonville State","174.86"
"2018","Hampton","149.11"
"2018","James Madison","147.11"
