"Year","Rank","Team","Points"
"2021","1","Alabama","327.91"
"2021","2","Ohio State","309.49"
"2021","3","Georgia","294.55"
"2021","4","LSU","291.37"
"2021","5","Clemson","291.20"
"2021","6","Oregon","287.38"
"2021","7","Texas A&M","285.35"
"2021","8","USC","280.72"
"2021","9","Notre Dame","269.15"
"2021","10","Michigan","268.77"
"2021","11","Oklahoma","267.92"
"2021","12","Miami","263.12"
"2021","13","Florida","261.62"
"2021","14","North Carolina","253.91"
"2021","15","Wisconsin","240.80"
"2021","16","Tennessee","240.40"
"2021","17","Texas","237.09"
"2021","18","Ole Miss","234.56"
"2021","19","Maryland","230.29"
"2021","20","Nebraska","216.50"
"2021","21","Penn State","216.43"
"2021","22","Florida State","214.97"
"2021","23","Iowa","213.89"
"2021","24","Arkansas","213.19"
"2021","25","Mississippi State","210.60"
"2021","26","Pittsburgh","210.45"
"2021","27","Missouri","210.28"
"2021","28","California","209.20"
"2021","29","UCLA","206.50"
"2021","30","Auburn","205.63"
"2021","31","Virginia","205.33"
"2021","32","Kentucky","205.02"
"2021","33","Utah","203.23"
"2021","34","NC State","202.42"
"2021","35","Washington","201.78"
"2021","36","Boston College","201.66"
"2021","37","Minnesota","199.40"
"2021","38","Louisville","198.01"
"2021","39","Oklahoma State","196.26"
"2021","40","West Virginia","195.07"
"2021","41","Rutgers","191.67"
"2021","42","Cincinnati","190.66"
"2021","43","Michigan State","190.60"
"2021","44","Baylor","190.18"
"2021","45","Virginia Tech","189.84"
"2021","46","Memphis","187.31"
"2021","47","Georgia Tech","186.82"
"2021","48","Arizona State","185.98"
"2021","49","Vanderbilt","184.46"
"2021","50","Northwestern","184.30"
"2021","51","Stanford","183.58"
"2021","52","Kansas","183.13"
"2021","53","SMU","181.61"
"2021","54","Indiana","177.78"
"2021","55","UCF","177.69"
"2021","56","Kansas State","176.98"
"2021","57","Syracuse","176.50"
"2021","58","Duke","176.16"
"2021","59","Iowa State","175.58"
"2021","60","Washington State","172.58"
"2021","61","TCU","171.83"
"2021","62","San Diego State","169.98"
"2021","63","South Florida","167.63"
"2021","64","Texas Tech","167.13"
"2021","65","Colorado","167.11"
"2021","66","Wake Forest","165.75"
"2021","67","Toledo","163.18"
"2021","68","UNLV","161.89"
"2021","69","App State","161.14"
"2021","70","Boise State","161.13"
"2021","71","BYU","159.77"
"2021","72","Purdue","159.72"
"2021","73","Illinois","159.12"
"2021","74","Fresno State","159.11"
"2021","75","Arizona","157.25"
"2021","76","South Carolina","157.05"
"2021","77","Tulane","156.56"
"2021","78","UTSA","154.80"
"2021","79","Louisiana","154.78"
"2021","80","North Texas","153.89"
"2021","81","Houston","153.47"
"2021","82","Florida Atlantic","153.21"
"2021","83","Florida International","152.13"
"2021","84","Coastal Carolina","150.67"
"2021","85","Jackson State","147.90"
"2021","86","Nevada","146.32"
"2021","87","Central Michigan","146.12"
"2021","88","Miami (OH)","146.03"
"2021","89","Colorado State","144.67"
"2021","90","Air Force","144.16"
"2021","91","Northern Illinois","142.59"
"2021","92","Georgia Southern","141.76"
"2021","93","Rice","141.39"
"2021","94","New Mexico","140.75"
"2021","95","Ball State","140.07"
"2021","96","East Carolina","139.28"
"2021","97","Western Michigan","139.11"
"2021","98","Buffalo","137.78"
"2021","99","Ohio","137.60"
"2021","100","Old Dominion","135.74"
"2021","101","Charlotte","134.83"
"2021","102","Georgia State","134.55"
"2021","103","Bowling Green","133.73"
"2021","104","Troy","133.65"
"2021","105","Temple","132.83"
"2021","106","Arkansas State","132.61"
"2021","107","Navy","131.51"
"2021","108","Oregon State","131.45"
"2021","109","Army","131.27"
"2021","110","Wyoming","130.41"
"2021","111","Liberty","129.14"
"2021","112","Eastern Michigan","128.54"
"2021","113","UL Monroe","127.64"
"2021","114","New Mexico State","126.90"
"2021","115","UConn","125.11"
"2021","116","UAB","123.44"
"2021","117","Massachusetts","121.74"
"2021","118","Kent State","119.36"
"2021","119","Akron","113.25"
"2021","120","San José State","112.81"
"2021","121","Louisiana Tech","108.45"
"2021","122","South Alabama","107.68"
"2021","123","Middle Tennessee","107.22"
"2021","124","Southern Miss","104.36"
"2021","125","Marshall","101.55"
"2021","126","Tulsa","97.89"
"2021","127","Hawai'i","90.15"
"2021","128","Northern Arizona","80.92"
"2021","129","Harvard","70.08"
"2021","130","Princeton","69.11"
"2021","131","Cal Poly","62.42"
"2021","132","Idaho","62.38"
"2021","133","Yale","61.37"
"2021","134","UTEP","60.62"
"2021","135","Utah State","55.32"
"2021","136","Western Kentucky","49.62"
"2021","138","Eastern Washington","48.13"
"2021","139","Pennsylvania","47.87"
"2021","140","James Madison","46.14"
"2021","141","Lamar","39.38"
"2021","142","North Carolina A&T","38.90"
"2021","143","Northern Iowa","37.22"
"2021","144","Stephen F. Austin","36.77"
"2021","145","UC Davis","31.22"
"2021","146","Central Arkansas","30.30"
"2021","147","Georgetown","29.42"
"2021","148","Samford","28.48"
"2021","149","Howard","27.30"
"2021","150","Morgan State","26.96"
"2021","151","South Dakota","25.25"
"2021","152","Montana State","24.70"
"2021","153","Southern Utah","24.64"
