"Year","Rank","Team","Points"
"2020","1","Georgia","313.34"
"2020","2","Alabama","310.44"
"2020","3","Clemson","309.73"
"2020","4","LSU","300.54"
"2020","5","Ohio State","295.08"
"2020","6","Texas A&M","289.49"
"2020","7","Auburn","274.60"
"2020","8","Florida","272.99"
"2020","9","Texas","270.93"
"2020","10","Tennessee","261.50"
"2020","11","Oklahoma","259.60"
"2020","12","Oregon","259.49"
"2020","13","Miami","256.71"
"2020","14","Michigan","256.34"
"2020","15","Penn State","256.05"
"2020","16","Washington","252.35"
"2020","17","Notre Dame","251.45"
"2020","18","South Carolina","250.12"
"2020","19","North Carolina","246.65"
"2020","20","Nebraska","240.27"
"2020","21","Stanford","238.62"
"2020","22","Florida State","238.41"
"2020","23","Kentucky","229.87"
"2020","24","Arizona State","229.47"
"2020","25","Wisconsin","225.54"
"2020","26","Georgia Tech","222.73"
"2020","27","Mississippi State","220.24"
"2020","28","TCU","215.88"
"2020","29","Utah","212.32"
"2020","30","Arkansas","212.16"
"2020","31","Maryland","209.67"
"2020","32","UCLA","208.42"
"2020","33","Purdue","208.38"
"2020","34","Ole Miss","204.07"
"2020","35","Iowa","203.81"
"2020","36","Colorado","203.17"
"2020","37","West Virginia","199.77"
"2020","38","Minnesota","199.35"
"2020","39","California","198.00"
"2020","40","Cincinnati","194.95"
"2020","41","NC State","194.78"
"2020","42","Louisville","194.46"
"2020","43","Michigan State","193.32"
"2020","44","Pittsburgh","192.65"
"2020","45","Oklahoma State","192.35"
"2020","46","Iowa State","190.90"
"2020","47","Northwestern","190.69"
"2020","48","Virginia","185.57"
"2020","49","Texas Tech","183.17"
"2020","50","Missouri","182.85"
"2020","51","Kansas State","182.46"
"2020","52","Vanderbilt","182.21"
"2020","53","Oregon State","182.12"
"2020","54","Baylor","181.12"
"2020","55","USC","181.01"
"2020","56","Washington State","179.28"
"2020","57","Kansas","178.97"
"2020","58","Indiana","177.39"
"2020","59","Syracuse","175.88"
"2020","60","Wake Forest","173.82"
"2020","61","Duke","171.72"
"2020","62","Arizona","170.89"
"2020","63","Boston College","170.36"
"2020","64","Rutgers","170.14"
"2020","65","Boise State","167.92"
"2020","66","Tulane","165.84"
"2020","67","Memphis","165.67"
"2020","68","North Texas","164.56"
"2020","69","Toledo","164.20"
"2020","70","East Carolina","163.06"
"2020","71","UCF","162.97"
"2020","72","Virginia Tech","162.89"
"2020","73","Florida Atlantic","162.51"
"2020","74","Florida International","162.27"
"2020","75","Louisiana Tech","162.08"
"2020","76","Southern Miss","161.52"
"2020","77","UNLV","160.84"
"2020","78","BYU","159.91"
"2020","79","Louisiana","158.34"
"2020","80","Western Kentucky","157.37"
"2020","81","SMU","156.95"
"2020","82","Houston","155.32"
"2020","83","App State","154.59"
"2020","84","Troy","154.47"
"2020","85","Bowling Green","154.40"
"2020","86","Western Michigan","153.11"
"2020","87","Illinois","152.90"
"2020","88","Charlotte","152.55"
"2020","89","Miami (OH)","150.61"
"2020","90","Middle Tennessee","150.60"
"2020","91","Northern Illinois","149.69"
"2020","92","Arkansas State","148.75"
"2020","93","Rice","147.70"
"2020","94","Old Dominion","146.75"
"2020","95","Liberty","146.50"
"2020","96","Marshall","146.14"
"2020","97","Temple","145.30"
"2020","98","Georgia Southern","145.22"
"2020","99","Texas State","145.19"
"2020","100","Massachusetts","145.02"
"2020","101","South Florida","142.97"
"2020","102","Colorado State","142.80"
"2020","103","UAB","142.57"
"2020","104","San Diego State","142.57"
"2020","105","UTSA","142.53"
"2020","106","New Mexico","142.34"
"2020","107","Air Force","142.11"
"2020","108","Kent State","141.52"
"2020","109","South Alabama","140.54"
"2020","110","Georgia State","140.52"
"2020","111","Army","139.43"
"2020","112","Tulsa","138.25"
"2020","113","Wyoming","138.13"
"2020","114","San José State","137.42"
"2020","115","Eastern Michigan","136.77"
"2020","116","Coastal Carolina","136.61"
"2020","117","Utah State","134.50"
"2020","118","UConn","134.27"
"2020","119","Nevada","132.46"
"2020","120","UL Monroe","132.30"
"2020","121","Fresno State","131.51"
"2020","122","Ball State","131.50"
"2020","123","Central Michigan","130.86"
"2020","124","Princeton","129.51"
"2020","125","Akron","129.48"
"2020","126","Navy","128.76"
"2020","127","Hawai'i","124.35"
"2020","128","Eastern Washington","117.96"
"2020","129","Ohio","116.96"
"2020","130","Buffalo","114.94"
"2020","131","UTEP","114.47"
"2020","132","New Mexico State","108.54"
"2020","133","Montana State","101.69"
"2020","134","Idaho","96.43"
"2020","135","Cal Poly","94.88"
"2020","136","UC Davis","93.33"
"2020","137","Sacramento State","89.88"
"2020","139","Northern Arizona","86.06"
"2020","140","Harvard","77.67"
"2020","141","North Dakota State","77.43"
"2020","142","Stephen F. Austin","77.21"
"2020","145","Villanova","69.37"
"2020","146","Northern Iowa","69.28"
"2020","147","Yale","66.61"
"2020","148","Dartmouth","64.97"
"2020","149","Columbia","62.05"
"2020","150","Central Arkansas","61.89"
"2020","151","Eastern Kentucky","60.50"
"2020","152","Rhode Island","57.83"
"2020","153","Illinois State","56.34"
"2020","154","Kennesaw State","55.15"
"2020","155","Montana","51.30"
"2020","157","Pennsylvania","50.08"
"2020","158","Furman","43.15"
"2020","159","Eastern Illinois","42.77"
"2020","161","Portland State","41.99"
"2020","162","Holy Cross","41.97"
"2020","163","Georgetown","40.93"
"2020","164","Missouri State","39.43"
"2020","165","Idaho State","39.12"
"2020","166","Elon","36.99"
"2020","167","Northern Colorado","36.46"
"2020","168","East Tennessee State","35.94"
"2020","170","James Madison","35.08"
"2020","172","Davidson","34.64"
"2020","173","SE Louisiana","34.04"
"2020","175","Tennessee State","32.21"
"2020","176","South Dakota","29.87"
"2020","177","Western Carolina","29.45"
"2020","179","Mercer","28.80"
"2020","180","Brown","28.57"
"2020","182","San Diego","27.65"
"2020","183","Youngstown State","27.25"
"2020","184","Sam Houston","26.54"
"2020","186","UT Martin","24.03"
"2020","188","Western Illinois","23.72"
"2020","190","Hampton","22.89"
"2020","192","Stony Brook","22.70"
"2020","193","Grambling","22.25"
"2020","194","South Dakota State","22.07"
"2020","195","Fordham","21.45"
"2020","196","Samford","21.20"
"2020","198","Houston Christian","20.55"
"2020","199","Delaware","20.10"
"2020","200","VMI","20.05"
"2020","201","Bucknell","19.97"
"2020","203","Wofford","19.41"
"2020","204","Austin Peay","17.16"
"2020","208","Indiana State","16.73"
"2020","209","Arkansas-Pine Bluff","16.53"
"2020","210","Jacksonville State","16.49"
"2020","211","Cornell","15.89"
"2020","218","North Dakota","12.79"
"2020","219","North Carolina Central","12.65"
"2020","220","Alcorn State","12.65"
"2020","225","North Carolina A&T","11.52"
"2020","228","Campbell","10.98"
"2020","229","Richmond","9.98"
"2020","230","Southern Illinois","9.91"
"2020","232","Bryant","8.98"
"2020","233","Southeast Missouri State","8.97"
"2020","236","Texas Southern","8.97"
"2020","239","Lehigh","6.97"
"2020","240","Lafayette","6.97"
"2020","242","Marist","6.30"
"2020","245","Colgate","4.97"
